match_id,date,detailed_stage,stage_group,team,opponent,team_position,goals_for,goals_against,result_decision,result,fouls_committed
85,02/07/2026,ROUND OF 32,Knockout,Algeria,Switzerland,Team 2,0,2,Normal Time / Extra Time,Loss,12
86,03/07/2026,ROUND OF 32,Knockout,Australia,Egypt,Team 1,1,1,Penalty Shootout,Loss,12
86,03/07/2026,ROUND OF 32,Knockout,Egypt,Australia,Team 2,1,1,Penalty Shootout,Win,14
87,03/07/2026,ROUND OF 32,Knockout,Argentina,Cape Verde,Team 1,3,2,Normal Time / Extra Time,Win,13
87,03/07/2026,ROUND OF 32,Knockout,Cape Verde,Argentina,Team 2,2,3,Normal Time / Extra Time,Loss,12
88,03/07/2026,ROUND OF 32,Knockout,Colombia,Ghana,Team 1,1,0,Normal Time / Extra Time,Win,14
88,03/07/2026,ROUND OF 32,Knockout,Ghana,Colombia,Team 2,0,1,Normal Time / Extra Time,Loss,10
89,04/07/2026,ROUND OF 16,Knockout,Canada,Morocco,Team 1,0,3,Normal Time / Extra Time,Loss,24
89,04/07/2026,ROUND OF 16,Knockout,Morocco,Canada,Team 2,3,0,Normal Time / Extra Time,Win,14
90,04/07/2026,ROUND OF 16,Knockout,Paraguay,France,Team 1,0,1,Normal Time / Extra Time,Loss,13
90,04/07/2026,ROUND OF 16,Knockout,France,Paraguay,Team 2,1,0,Normal Time / Extra Time,Win,11
91,05/07/2026,ROUND OF 16,Knockout,Brazil,Norway,Team 1,1,2,Normal Time / Extra Time,Loss,7
91,05/07/2026,ROUND OF 16,Knockout,Norway,Brazil,Team 2,2,1,Normal Time / Extra Time,Win,6
92,05/07/2026,ROUND OF 16,Knockout,Mexico,England,Team 1,2,3,Normal Time / Extra Time,Loss,14
92,05/07/2026,ROUND OF 16,Knockout,England,Mexico,Team 2,3,2,Normal Time / Extra Time,Win,7
93,06/07/2026,ROUND OF 16,Knockout,Portugal,Spain,Team 1,0,1,Normal Time / Extra Time,Loss,9
93,06/07/2026,ROUND OF 16,Knockout,Spain,Portugal,Team 2,1,0,Normal Time / Extra Time,Win,13
94,06/07/2026,ROUND OF 16,Knockout,USA,Belgium,Team 1,1,4,Normal Time / Extra Time,Loss,11
94,06/07/2026,ROUND OF 16,Knockout,Belgium,USA,Team 2,4,1,Normal Time / Extra Time,Win,9
95,07/07/2026,ROUND OF 16,Knockout,Argentina,Egypt,Team 1,3,2,Normal Time / Extra Time,Win,13
95,07/07/2026,ROUND OF 16,Knockout,Egypt,Argentina,Team 2,2,3,Normal Time / Extra Time,Loss,11
96,07/07/2026,ROUND OF 16,Knockout,Switzerland,Colombia,Team 1,0,0,Penalty Shootout,Win,22
96,07/07/2026,ROUND OF 16,Knockout,Colombia,Switzerland,Team 2,0,0,Penalty Shootout,Loss,21
97,09/07/2026,QUARTER FINALS,Knockout,France,Morocco,Team 1,2,0,Normal Time / Extra Time,Win,10
97,09/07/2026,QUARTER FINALS,Knockout,Morocco,France,Team 2,0,2,Normal Time / Extra Time,Loss,13
98,10/07/2026,QUARTER FINALS,Knockout,Spain,Belgium,Team 1,2,1,Normal Time / Extra Time,Win,13
98,10/07/2026,QUARTER FINALS,Knockout,Belgium,Spain,Team 2,1,2,Normal Time / Extra Time,Loss,18
99,11/07/2026,QUARTER FINALS,Knockout,Norway,England,Team 1,1,2,Normal Time / Extra Time,Loss,10
99,11/07/2026,QUARTER FINALS,Knockout,England,Norway,Team 2,2,1,Normal Time / Extra Time,Win,8
100,11/07/2026,QUARTER FINALS,Knockout,Argentina,Switzerland,Team 1,3,1,Normal Time / Extra Time,Win,14
100,11/07/2026,QUARTER FINALS,Knockout,Switzerland,Argentina,Team 2,1,3,Normal Time / Extra Time,Loss,18
101,14/07/2026,SEMI FINALS,Knockout,France,Spain,Team 1,0,2,Normal Time / Extra Time,Loss,11
101,14/07/2026,SEMI FINALS,Knockout,Spain,France,Team 2,2,0,Normal Time / Extra Time,Win,12
102,15/07/2026,SEMI FINALS,Knockout,England,Argentina,Team 1,1,2,Normal Time / Extra Time,Loss,11
102,15/07/2026,SEMI FINALS,Knockout,Argentina,England,Team 2,2,1,Normal Time / Extra Time,Win,15
103,19/07/2026,FINAL,Knockout,Spain,Argentina,Team 1,1,0,Normal Time / Extra Time,Win,21
103,19/07/2026,FINAL,Knockout,Argentina,Spain,Team 2,0,1,Normal Time / Extra Time,Loss,25
